Worksheet,Field,Required,Permissible Values,True Rejection ,Warning Layer,Resolved by QE/QCS
Admin_Demographic,FACILITY_ID ,Yes,Has a unique value per facility.,No,,Yes
Admin_Demographic,CONSENT ,Yes,Yes/No/Y/N/Unknown/Unk,Yes- If Unk/Unknown QE needs to discuss further with SCN,,
Admin_Demographic,FIRST_NAME,Yes, Alphabetical name,Yes,,
Admin_Demographic,MIDDLE_NAME,No,"If available-non-numeric, alphabetical name",No,,
Admin_Demographic,LAST_NAME,Yes, alphabetical name,Yes,,
Admin_Demographic,ADMINISTRATIVE_SEX_CODE,Yes,"M, F, X (UN), UNK, OTH, ASKU",Yes,,Yes
Admin_Demographic,ADMINISTRATIVE_SEX_CODE_DESCRIPTION,No,"Male, Female, Asked but Unknown, Other, Unknown",No,,Yes
Admin_Demographic,ADMINISTRATIVE_SEX_CODE_SYSTEM,Yes,See ADMINISTRATIVE_SEX,,,Yes
Admin_Demographic,SEX_AT_BIRTH_CODE,No,"M, F, ASKU, OTH, UNK",No,,
Admin_Demographic,SEX_AT_BIRTH_CODE_DESCRIPTION,No,"Male, Female, Asked but Unknown, Other, Unknown",No,,
Admin_Demographic,SEX_AT_BIRTH_CODE_SYSTEM,No,See SEX_AT_BIRTH,No,,
Admin_Demographic,PAT_BIRTH_DATE,Yes,Valid date Format: YYYY-MM-DD,Yes,,
Admin_Demographic,ADDRESS1,Required if Medicaid CIN not available,Is not a string of numbers,Threshold of completely blank address across all patients for the file or if Medicaid CIN is not available. ,Could be an issue if the patient has an address- provide feedback,
Admin_Demographic,ADDRESS2,No,Is not a string of numbers,,Could be an issue if the patient has an address- provide feedback,
Admin_Demographic,CITY,Yes,Is a city in New York State.,Yes,Could be an issue if the patient has an address- provide feedback,
Admin_Demographic,STATE,Yes,New York or NY,Yes,,
Admin_Demographic,ZIP,Yes,All numeric: 5 or 9 digits,Yes,,
Admin_Demographic,PHONE,No,,No,,
Admin_Demographic,SSN,No,,No,,
Admin_Demographic,GENDER_IDENTITY_CODE_SYSTEM_NAME,No,SNOMED-CT or SNOMED,No,,"If code is available, yes"
Admin_Demographic,GENDER_IDENTITY_CODE,No,See GENDER_IDENTITY tab,No,,
Admin_Demographic,GENDER_IDENTITY_DESCRIPTION,No,See GENDER_IDENTITY tab,No,,"If code is available, yes"
Admin_Demographic,SEXUAL_ORIENTATION_CODE_SYSTEM_NAME,No,SNOMED-CT or SNOMED,No,,"If code is available, yes"
Admin_Demographic,SEXUAL_ORIENTATION_CODE,No,See SEXUAL_ORIENTATION tab,No,,
Admin_Demographic,SEXUAL_ORIENTATION_CODE_DESCRIPTION,No,"Bisexual, Heterosexual , Homosexual, Other, Unknown",No,,"If code is available, yes"
Admin_Demographic,PREFERRED_LANGUAGE_CODE_SYSTEM_NAME,No,ISO or ISO 639-2,No,,"If code is available, yes"
Admin_Demographic,PREFERRED_LANGUAGE_CODE,No,"If available, is complete across all rows � Codes align with ISO. PREFERRED_LANGUAGE tab ",No,,
Admin_Demographic,PREFERRED_LANGUAGE_CODE_DESCRIPTION,No,"If available, is complete across all rows � Codes align with ISO. PREFERRED_LANGUAGE tab",No,,"If code is available, yes"
Admin_Demographic,RACE_CODE_SYSTEM_NAME,No, CDC or CDCRE,No,,"If code is available, yes"
Admin_Demographic,RACE_CODE,No,Aligns with CDC version 1.2- RACE tab,No,,
Admin_Demographic,RACE_CODE_DESCRIPTION,No,Aligns with CDC version 1.2- RACE tab,No,,"If code is available, yes"
Admin_Demographic,ETHNICITY_CODE_SYSTEM_NAME,No,CDC or CDCRE,No,,"If code is available, yes"
Admin_Demographic,ETHNICITY_CODE,No, Aligns with CDC version 1.2.- ETHNICITY tab,No,,
Admin_Demographic,ETHNICITY_CODE_DESCRIPTION,No,Aligns with CDC version 1.2.- ETHNICITY tab,No,,"If code is available, yes"
Admin_Demographic,MEDICAID_CIN,Required if address not available,"Is unique per PAT_MRN_ID. Follows the format two letters, 5 numbers, one letter",Yes only if address is not available,Yes,Yes
QE_Admin_Data,PAT_MRN_ID,Yes,Has a unique value per patient per facility. ,Yes,,
QE_Admin_Data,FACILITY_ID ,Yes,Has a unique value per facility.,No,,Yes
QE_Admin_Data,FACILITY_LONG_NAME,Yes,Is alphabetical.,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,ORGANIZATION_TYPE,Yes,"Hospital, DTC, SNF, SCN, CBO, OMH, OASAS, Practice, Article 36, Article 40. MCO",No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,FACILITY_ADDRESS1,Yes,Address is unique per facility- Address is not a PO box. Contains both numeric and alphabetic values.,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,FACILITY_ADDRESS2,No,Address is unique per facility- Address is not a PO box. Contains both numeric and alphabetic values.,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,FACILITY_CITY,No,Is a city in New York State,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,FACILITY_STATE,No,New York or NY,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,FACILITY_ZIP,Yes,All numeric. 5 or 9 numbers. ,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,VISIT_PART_2_FLAG,Yes,Yes/No,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,VISIT_OMH_FLAG,Yes,Yes/No,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
QE_Admin_Data,VISIT_OPWDD_FLAG,Yes,Yes/No,No,,Yes- Should have access to this information. Need to  confirm with organization details. Required to collect in SHIN-NY Salesforce. 
